,date,open_BTC,high_BTC,low_BTC,close_BTC,open_ETH,high_ETH,low_ETH,close_ETH,open_LTC,high_LTC,low_LTC,close_LTC,open_NEO,high_NEO,low_NEO,close_NEO,open_BNB,high_BNB,low_BNB,close_BNB,open_XRP,high_XRP,low_XRP,close_XRP,open_LINK,high_LINK,low_LINK,close_LINK,open_EOS,high_EOS,low_EOS,close_EOS,open_TRX,high_TRX,low_TRX,close_TRX,open_ETC,high_ETC,low_ETC,close_ETC,open_XLM,high_XLM,low_XLM,close_XLM,open_ZEC,high_ZEC,low_ZEC,close_ZEC
1078,2019-04-02 00:00:00,4144.54,4897.99,4140.54,4857.29,141.24,165.6,141.0,163.31,60.45,78.4,59.95,76.78,10.047,11.654,10.042,11.505,17.8888,19.88,17.5303,19.7155,0.31249,0.35571,0.3115,0.3505,0.5533,0.6,0.5326,0.5811,4.2042,5.0889,4.1541,5.0232,0.02433,0.027,0.02433,0.02671,4.8099,5.4451,4.7536,5.4288,0.11018,0.12212,0.10973,0.12111,62.69,70.99,60.56,69.6
1077,2019-04-03 00:00:00,4857.19,5275.01,4753.5,4932.6,163.26,177.81,149.23,159.96,76.76,98.5,76.24,85.19,11.501,13.839,11.2,12.123,19.7155,20.0,18.0,18.5489,0.3505,0.3705,0.32354,0.34022,0.5811,0.6073,0.517,0.562,5.022,5.911,4.7111,5.2089,0.02671,0.02929,0.02451,0.02595,5.4289,6.122,5.0243,5.4051,0.12113,0.13344,0.1132,0.12038,69.53,77.0,66.0,69.55
1076,2019-04-04 00:00:00,4932.59,5039.08,4777.0,4898.66,159.96,164.0,152.8,157.36,85.02,89.85,79.85,84.7,12.123,13.699,11.851,12.771,18.5388,19.41,18.16,18.992,0.34022,0.34669,0.325,0.32996,0.5588,0.5839,0.5195,0.5396,5.2089,5.3246,4.8345,5.065,0.02596,0.0268,0.02489,0.02582,5.4099,5.5934,5.196,5.3285,0.12045,0.12468,0.11432,0.11722,69.11,71.37,64.59,66.78
1075,2019-04-05 00:00:00,4898.64,5028.22,4880.62,5004.95,157.33,167.83,155.94,164.77,84.71,89.85,83.65,88.24,12.776,13.678,12.634,13.467,18.971,19.4593,18.8445,19.3657,0.32996,0.37999,0.32994,0.3613,0.5409,0.5799,0.539,0.5729,5.0671,5.371,5.0671,5.3097,0.02583,0.0275,0.02579,0.02699,5.3262,5.9247,5.3262,5.7268,0.1172,0.12975,0.11709,0.12697,66.91,72.62,66.91,72.05
1074,2019-04-06 00:00:00,5004.96,5205.0,4928.59,5043.89,164.84,172.77,159.2,165.5,88.24,97.54,85.0,92.21,13.457,13.524,12.759,13.079,19.3658,19.3866,18.82,19.0745,0.36118,0.36224,0.3461,0.35264,0.5735,0.59,0.5557,0.5691,5.3118,5.6803,5.0701,5.3288,0.02699,0.02734,0.02622,0.02668,5.7256,6.0489,5.4921,5.9932,0.12695,0.12831,0.11757,0.12492,71.62,73.12,69.14,71.23
1073,2019-04-07 00:00:00,5042.07,5234.0,5026.0,5170.27,165.56,175.43,164.06,174.21,92.23,95.44,88.74,91.55,13.08,13.24,12.51,12.844,19.0423,19.2137,18.8,18.9523,0.35267,0.367,0.35041,0.3612,0.5677,0.5918,0.5655,0.5773,5.3275,5.495,5.2415,5.4207,0.02668,0.02955,0.02652,0.02889,5.993,7.9875,5.9871,7.6627,0.12488,0.13386,0.1232,0.13226,71.38,75.0,70.52,74.37
1072,2019-04-08 00:00:00,5170.27,5305.0,5039.0,5236.9,174.29,185.87,170.9,178.72,91.55,94.0,85.2,88.57,12.844,13.276,11.87,12.59,18.9507,19.042,17.7881,17.9777,0.36149,0.37012,0.34365,0.35568,0.5776,0.5912,0.537,0.5634,5.4174,5.6654,5.1977,5.5003,0.0289,0.0316,0.02725,0.03033,7.6687,7.9122,6.7601,7.1169,0.13222,0.1355,0.12304,0.12969,74.21,76.07,68.85,72.19
1071,2019-04-09 00:00:00,5238.38,5238.4,5076.68,5150.0,178.71,179.17,171.05,174.6,88.57,88.71,82.61,86.17,12.586,12.597,11.72,12.06,17.9728,18.54,17.01,18.2984,0.35558,0.35574,0.34385,0.34732,0.5617,0.5637,0.517,0.53,5.5006,5.6223,5.2612,5.5231,0.03032,0.03111,0.02861,0.0296,7.1175,7.35,6.6348,6.9248,0.12956,0.12986,0.1226,0.12417,72.2,72.2,68.6,70.3
1070,2019-04-10 00:00:00,5150.0,5422.0,5135.0,5308.25,174.58,183.77,168.0,177.12,86.19,91.1,85.91,88.16,12.06,12.669,12.022,12.424,18.2984,18.6095,17.8927,18.24,0.34728,0.3578,0.34608,0.35345,0.53,0.5452,0.51,0.5197,5.5223,5.973,5.5044,5.8417,0.02959,0.03082,0.02937,0.02997,6.9246,7.2,6.8822,7.0264,0.12422,0.12876,0.12356,0.12578,70.43,73.79,70.07,71.75
1069,2019-04-11 00:00:00,5307.86,5332.67,4927.0,5017.37,177.12,177.48,158.27,164.07,88.16,88.45,74.64,78.88,12.432,12.432,10.501,11.152,18.24,18.24,16.2501,17.5555,0.3535,0.35377,0.3191,0.32705,0.5198,0.521,0.453,0.4821,5.8425,5.8473,5.05,5.2778,0.02999,0.03004,0.02515,0.02641,7.0352,7.0439,5.9,6.2411,0.12564,0.12606,0.10953,0.11438,71.85,72.11,63.32,69.61
1068,2019-04-12 00:00:00,5017.37,5080.58,4861.22,5048.01,164.06,166.5,158.11,163.19,78.9,80.43,75.0,78.47,11.157,11.542,10.577,11.238,17.5555,18.552,16.612,18.3333,0.3271,0.3282,0.31391,0.32325,0.4821,0.5134,0.4531,0.492,5.2788,5.44,5.0276,5.3313,0.0264,0.02697,0.02512,0.02628,6.241,6.4696,5.8206,6.31,0.11433,0.11596,0.10864,0.11318,69.59,71.81,67.14,70.94
1067,2019-04-13 00:00:00,5047.0,5099.0,5004.0,5045.22,163.2,165.37,160.74,162.99,78.43,81.02,75.51,77.62,11.234,11.321,10.864,11.015,18.2867,18.6398,17.9143,18.6111,0.32314,0.3359,0.31936,0.32458,0.4932,0.5399,0.4913,0.5358,5.3305,5.398,5.1855,5.2857,0.02627,0.02676,0.02572,0.02604,6.3022,6.4025,6.1279,6.2917,0.11322,0.11675,0.11186,0.11501,71.09,71.24,68.3,69.08
1066,2019-04-14 00:00:00,5047.45,5152.99,5000.0,5131.3,162.99,168.11,161.2,167.23,77.58,83.6,76.09,83.28,11.007,11.31,10.764,11.267,18.6111,19.9,18.4259,19.3866,0.32459,0.33,0.32121,0.32762,0.5366,0.5449,0.5073,0.5225,5.2857,5.57,5.2152,5.5422,0.02603,0.02702,0.0258,0.02686,6.29,6.4172,6.1465,6.4124,0.11495,0.11829,0.11287,0.1172,69.11,70.25,66.95,69.6
1065,2019-04-15 00:00:00,5131.28,5167.38,4950.0,5024.95,167.21,168.81,155.7,159.95,83.31,84.41,75.0,78.07,11.265,11.419,10.411,10.677,19.3734,19.78,18.6601,19.2666,0.32761,0.33184,0.31311,0.31905,0.5259,0.5268,0.48,0.4883,5.5421,5.6087,5.2279,5.3234,0.02687,0.02752,0.02571,0.02622,6.4179,6.5233,5.9112,6.1626,0.11734,0.11917,0.11002,0.11237,69.6,70.28,65.4,67.45
1064,2019-04-16 00:00:00,5024.95,5197.72,5003.94,5173.72,159.91,166.73,159.41,165.37,78.06,81.49,76.88,80.27,10.676,11.05,10.532,10.85,19.2668,19.7482,18.7064,19.6408,0.31889,0.325,0.31541,0.32379,0.4884,0.5176,0.4883,0.4985,5.3263,5.5164,5.2749,5.49,0.02621,0.02688,0.02582,0.02666,6.1626,6.2761,6.0168,6.2393,0.11235,0.11545,0.1103,0.11423,67.42,69.48,66.76,68.98
1063,2019-04-17 00:00:00,5173.72,5230.4,5146.8,5202.82,165.41,167.28,163.78,165.75,80.27,81.5,78.0,78.77,10.847,11.173,10.741,10.923,19.6399,19.7908,19.26,19.4888,0.324,0.341,0.319,0.33436,0.4998,0.5046,0.488,0.4998,5.4871,5.5499,5.3515,5.4153,0.02666,0.02683,0.02621,0.02649,6.2401,6.3266,6.1019,6.1861,0.11419,0.11697,0.11323,0.11667,68.98,71.47,67.45,70.09
1062,2019-04-18 00:00:00,5202.41,5287.0,5198.8,5258.44,165.75,175.2,165.04,173.33,78.82,83.66,78.74,81.68,10.932,11.346,10.915,11.231,19.4757,21.998,19.4333,21.8888,0.33435,0.34671,0.33116,0.33533,0.4992,0.5226,0.4974,0.5193,5.4183,5.547,5.4083,5.4654,0.02649,0.0271,0.02645,0.02672,6.1869,6.3887,6.1597,6.3218,0.11666,0.11958,0.11569,0.11732,70.25,71.75,69.6,70.26
1061,2019-04-19 00:00:00,5258.44,5320.0,5175.0,5258.68,173.34,173.55,168.59,172.64,81.67,83.17,79.48,82.05,11.235,11.238,10.758,11.028,21.8888,24.7459,21.12,24.3188,0.33525,0.33537,0.32606,0.32999,0.5187,0.539,0.5083,0.5095,5.4682,5.4784,5.3356,5.4546,0.0267,0.02671,0.02578,0.02625,6.3277,6.3393,6.1825,6.2528,0.1172,0.11743,0.114,0.11486,70.26,70.28,68.8,69.23
1060,2019-04-20 00:00:00,5258.68,5333.42,5230.1,5291.73,172.66,176.97,169.87,172.88,82.05,82.69,79.33,81.15,11.029,11.133,10.76,10.881,24.3188,25.4973,23.76,24.8888,0.33008,0.33241,0.321,0.32668,0.5105,0.5287,0.505,0.5118,5.4546,5.4996,5.365,5.4271,0.02627,0.02638,0.02552,0.02582,6.2562,6.3,6.1388,6.2131,0.11488,0.1176,0.113,0.11526,69.4,69.98,68.34,69.35
1059,2019-04-21 00:00:00,5292.91,5314.35,5165.0,5256.14,172.89,173.48,164.82,168.59,81.16,81.85,72.86,76.65,10.881,10.967,10.1,10.503,24.8693,24.8693,22.45,23.9999,0.32673,0.32815,0.31356,0.31963,0.5117,0.5139,0.4752,0.4963,5.4262,5.45,4.9071,5.1987,0.02581,0.02616,0.024,0.02476,6.2086,6.2177,5.6608,5.8822,0.11524,0.11564,0.1074,0.11095,69.5,69.6,66.09,67.91
1058,2019-04-22 00:00:00,5257.41,5400.0,5208.35,5357.14,168.59,172.3,167.0,170.52,76.61,77.63,74.9,76.51,10.502,10.896,10.4,10.756,23.9999,24.6368,23.02,23.8,0.31972,0.3306,0.31624,0.32252,0.4963,0.517,0.4837,0.4957,5.2,5.2879,5.0844,5.2186,0.02476,0.02529,0.02436,0.02492,5.8786,5.9419,5.7736,5.8944,0.11098,0.11433,0.10837,0.11229,68.11,70.17,65.92,68.76
1057,2019-04-23 00:00:00,5357.14,5600.0,5332.41,5493.31,170.52,175.83,167.78,169.16,76.47,79.29,73.33,73.7,10.76,11.14,10.206,10.215,23.7812,24.6131,22.47,22.546,0.32232,0.32647,0.31684,0.31807,0.492,0.504,0.4756,0.4756,5.2185,5.3698,5.07,5.1033,0.02492,0.02518,0.02405,0.02408,5.8938,6.0757,5.83,5.8715,0.1123,0.11319,0.10859,0.10867,68.95,70.97,66.45,66.45
